Name,Storage_details,Screen_size,Camera_details,Battery_details,Processor,Price in Rupees
"Vivo Y31L (White, 16 GB)",1 GB RAM | 16 GB ROM | Expandable Upto 128 GB,11.94 cm (4.7 inch) quarter HD Display,8MP Rear Camera,2200 mAh Battery,Snapdragon 410 MSM8916 Processor,"10,000"
"Vivo Y21 (White, 16 GB)",1 GB RAM | 16 GB ROM | Expandable Upto 128 GB,11.43 cm (4.5 inch) FWVGA Display,5MP Rear Camera | 2MP Front Camera,1900 mAh Battery,MTK6580 Processor,"3,999"
"Vivo Y51L (White, 16 GB)",2 GB RAM | 16 GB ROM |,12.7 cm (5 inch) quarter HD Display,8MP Rear Camera | 5MP Front Camera,2350 mAh Battery,0 0 Quad Core 1.2GHz Processor,"8,990"
"Vivo Y51L (Black, 16 GB)",2 GB RAM | 16 GB ROM |,12.7 cm (5 inch) quarter HD Display,8MP Rear Camera | 5MP Front Camera,2350 mAh Battery,1 Year Manufacturer Warranty,"8,999"
"Vivo Y15S (Black, 8 GB)",1 GB RAM | 8 GB ROM |,11.43 cm (4.5 inch) FWVGA Display,5MP Rear Camera,1900 mAh Battery,1 Year Manufacturer Warranty,"4,999"
"Vivo ( Y27L WHITE 16GB ) (White, 16 GB)",1 GB RAM | 16 GB ROM |,11.94 cm (4.7 inch) HD Display,8MP Rear Camera,2260 mAh Battery,1 Year Manufacturer Warranty,"9,001"
"Vivo ( Y31 WHITE 8GB ) (White, 8 GB)",1 GB RAM | 8 GB ROM | Expandable Upto 128 GB,11.94 cm (4.7 inch) HD Display,8MP Rear Camera | 2MP Front Camera,2200 mAh Battery,1 Year Manufacturer Warranty,"7,999"
"Vivo ( Y15S WHITE ) (White, 8 GB)",1 GB RAM | 8 GB ROM |,11.43 cm (4.5 inch) FWVGA Display,5MP Rear Camera,1900 mAh Battery,1 Year Manufacturer Warranty,"6,890"
"Vivo V1 (White, 16 GB)",2 GB RAM | 16 GB ROM |,12.7 cm (5 inch) HD Display,13MP Rear Camera,2300 mAh Battery,1 Year Manufacturer Warranty,"13,499"
"Vivo X5 (White, 16 GB)",2 GB RAM | 16 GB ROM |,13.21 cm (5.2 inch) HD Display,13MP Rear Camera,2450 mAh Battery,1 Year Manufacturer Warranty,"19,899"
"Vivo V1 MAX (White, 16 GB)",2 GB RAM | 16 GB ROM |,13.97 cm (5.5 inch) HD Display,13MP Rear Camera,2720 mAh Battery,1 Year Manufacturer Warranty,"13,000"
